date,STI_yoy,discretionary_share_yoy,disposable_income_yoy,cpi_yoy,unemployment_rate_yoy
2012-09-01,-0.40621794661709976,-0.12354298381670148,-1464.0,-0.3,-0.009999999999999787
2012-10-01,-0.3177839046061923,0.13434813226236386,-1826.0,-0.4,-0.29000000000000004
2012-11-01,-0.30939352013589294,0.22665942492845303,3558.0,-0.2,-0.33000000000000007
2012-12-01,-0.23568452658210437,-0.02085039695448998,5519.0,-0.1,-0.2400000000000002
2013-01-01,-0.47367602745225856,-0.4509924653331474,-1533.0,-0.3,-0.3100000000000005
2013-02-01,-0.578974589671956,-0.09789469329273359,-9940.0,-0.7,-0.20999999999999996
2013-03-01,-0.6210940145598349,-0.429117101311153,-1629.0,-0.9,-0.3799999999999999
2013-04-01,-0.9264598449969574,0.3907719052206424,-797.0,-0.7,-0.35000000000000053
2013-05-01,-0.9411848934540777,0.4764075247511066,8637.0,-0.3,-0.27000000000000046
2013-06-01,-0.8190218110255902,1.4366232082267238,9842.0,0.2,-0.41000000000000014
2013-07-01,-0.8190218110255902,1.0416174381076644,5656.0,0.7,-0.5
2013-08-01,-0.6968587285971035,1.1303365003208583,-1134.0,0.9,-0.1200000000000001
2013-09-01,-1.042204512170435,-0.10621693600956306,3598.0,1.1,-0.2900000000000005
2013-10-01,-0.6820499288717935,-0.7736355918806908,78.0,1.1,-0.1299999999999999
2013-11-01,-0.8273284442276994,0.20028157287023873,1858.0,1.5,-0.2200000000000002
2013-12-01,-0.7262250742431524,0.08613691869439677,-1111.0,1.6,-0.5999999999999996
2014-01-01,-0.26291140047648287,0.999475294433271,4111.0,1.4,-0.5599999999999996
2014-02-01,-0.0038601871623896444,-0.4341003837173574,2486.0,1.5,-0.7000000000000002
2014-03-01,0.22146198573412496,2.2430271519201597,-4589.0,1.6,-0.48
2014-04-01,0.4847083912833686,-0.5632412961712134,-12494.0,3.4,-0.5099999999999998
2014-05-01,0.3730751650768517,0.6010006185762293,2587.0,3.7,-0.5699999999999998
2014-06-01,0.09715943155396844,-0.7849129064187004,-22951.0,3.6,-0.23999999999999977
2014-07-01,-0.03972869933163875,-1.2116649004502698,-5900.0,3.4,-0.10999999999999988
2014-08-01,-0.01027860241739964,-0.11977512898054599,-5613.0,3.3,-0.6299999999999999
2014-09-01,0.3729914138086613,0.3521917265197487,-7723.0,3.2,-0.41999999999999993
2014-10-01,0.07601596784183895,-0.5504386625710573,3543.0,2.9,-0.43999999999999995
2014-11-01,0.33292770940426175,0.2847197483432993,-3868.0,2.4,-0.46999999999999975
2014-12-01,0.11180072874289793,-0.5617461267693855,19315.0,2.4,-0.2799999999999998
2015-01-01,-0.025087402142709214,-1.3553652589566632,631.0,2.4,-0.11000000000000032
2015-02-01,-0.37890732145453,0.08660320282823619,8519.0,2.2,-0.10999999999999988
2015-03-01,-0.5642495412148356,-1.724171359184595,5932.0,2.3,-0.25
2015-04-01,-0.5916439176455954,0.417688249770503,11620.0,0.6,-0.27
2015-05-01,-0.38524198544135013,-0.4063623504811851,6935.0,0.5,-0.25
2015-06-01,-0.27360875923483335,-0.21275202487958111,12405.0,0.4,-0.3200000000000003
2015-07-01,-0.09460120346134726,1.4828614494821188,23629.0,0.2,-0.3900000000000001
2015-08-01,-0.2819991437051328,-0.11902049441345497,8058.0,0.2,-0.10000000000000009
2015-09-01,-0.27566447971831265,0.36186708581731253,-3757.0,0.0,-0.1200000000000001
2015-10-01,-0.43361232304785957,0.9760102187534763,194.0,0.3,-0.3799999999999999
2015-11-01,-0.6484046397224037,-0.4954542247673075,-7328.0,0.3,-0.18000000000000016
2015-12-01,-0.5389108852675567,0.422028787541155,-22082.0,0.2,-0.13000000000000034
2016-01-01,-0.5220463650587674,0.7883291740953169,-3329.0,-0.1,-0.3299999999999996
2016-02-01,-0.1219118286239173,-0.1289938219240767,-12389.0,0.2,-0.1900000000000004
2016-03-01,-0.21034587063482535,0.2772183401613546,4692.0,0.0,-0.16999999999999993
2016-04-01,-0.16608697399527617,-0.10333870024317449,3425.0,-0.3,-0.1499999999999999
2016-05-01,-0.20820639888315506,0.5324266242954501,-14496.0,-0.5,-0.14000000000000012
2016-06-01,-0.28191539243694264,0.3317423889510813,8397.0,-0.4,-0.23999999999999977
2016-07-01,-0.2987799126457328,-0.06889021452591848,-3921.0,-0.4,-0.31999999999999984
2016-08-01,-0.28825005642376245,0.14472477786760507,341.0,-0.5,-0.22999999999999998
2016-09-01,-0.45253256374012907,0.250342835795923,9443.0,-0.5,-0.3799999999999999
2016-10-01,-0.31983962508967156,0.4889298718542321,-17.0,0.1,-0.21999999999999975
2016-11-01,-0.05239802730527798,-0.7194316905151226,6882.0,0.5,-0.22999999999999998
2016-12-01,-0.2629951517446736,-0.937923346597799,18094.0,0.3,-0.21999999999999975
2017-01-01,-0.2903895281754322,0.6187670279189206,4795.0,0.4,-0.2100000000000004
2017-02-01,-0.5262415572939168,-0.16792635269161238,8130.0,0.3,-0.3799999999999999
2017-03-01,-0.47992694017088744,0.2865706112451569,-6283.0,0.2,-0.4500000000000002
2017-04-01,-0.47359227618406796,0.5627356562330803,-3838.0,0.4,-0.43000000000000016
2017-05-01,-0.4904567963928579,-1.1715221816142218,-5259.0,0.4,-0.1299999999999999
2017-06-01,-0.35356866550725097,-0.7188097215878102,4316.0,0.4,-0.31000000000000005
2017-07-01,-0.48412213240603785,-0.0716263654035103,12741.0,0.4,-0.20999999999999996
2017-08-01,-0.3640985217292212,-0.14374358341966342,9441.0,0.7,-0.3799999999999999
2017-09-01,-0.32617428907649204,-0.5669792561094873,10985.0,0.7,-0.25
2017-10-01,-0.4525325637401294,-1.4840656599540765,10775.0,0.2,-0.25
2017-11-01,-0.6104804070696757,0.8640099621244381,9399.0,0.6,-0.31000000000000005
2017-12-01,-0.4040784748654298,0.7596678732383886,13420.0,1.0,-0.33000000000000007
2018-01-01,-0.41880352332255,-0.5001563632900954,-135.0,1.4,-0.5999999999999996
2018-02-01,-0.3325089530633121,0.2012134114253108,17518.0,1.5,-0.3700000000000001
2018-03-01,-0.2377402470655845,0.04356045202887415,10297.0,1.1,-0.2899999999999996
