date,job_scarcity,consumer_anxiety,job_scarcity_z,consumer_anxiety_z,STI
2007-08-01,-1.05,-41.2,-0.120820910417392,-0.6263239479721624,-0.3735724291947772
2007-09-01,-1.03,-40.9,-0.06192071658891346,-0.563144810640343,-0.31253276361462823
2007-10-01,-1.01,-40.1,-0.0030205227604349146,-0.3946671110888276,-0.19884381692463127
2007-11-01,-0.98,-37.9,0.08532976798228291,0.06864656267784189,0.07698816533006239
2007-12-01,-0.98,-36.8,0.08532976798228291,0.30030339956117663,0.19281658377172978
2008-01-01,-0.97,-36.2,0.11477986489652217,0.42666167422481244,0.2707207695606673
2008-02-01,-0.96,-35.2,0.14422996181076145,0.6372587986642074,0.3907443802374844
2008-03-01,-0.96,-34.7,0.14422996181076145,0.7425573608839049,0.44339366134733316
2008-04-01,-0.96,-32.7,0.14422996181076145,1.1637516097626948,0.6539907857867281
2008-05-01,-0.95,-31.0,0.17368005872500072,1.5217667213096668,0.8477233900173338
2008-06-01,-0.92,-29.9,0.2620303494677182,1.7534235581930016,1.00772695383036
2008-07-01,-0.89,-28.8,0.350380640210436,1.9850803950763356,1.1677305176433859
2008-08-01,-0.86,-27.8,0.43873093095315385,2.1956775195157308,1.3172042252344422
2008-09-01,-0.83,-28.8,0.5270812216958717,1.9850803950763356,1.2560808083861037
2008-10-01,-0.79,-27.4,0.6448816093528285,2.279916369291489,1.4623989893221587
2008-11-01,-0.75,-27.1,0.7626819970097856,2.343095506623307,1.5528887518165462
2008-12-01,-0.71,-25.9,0.8804823846667427,2.5958120559505815,1.738147220308662
2009-01-01,-0.64,-25.8,1.0866330630664172,2.6168717683945206,1.851752415730469
2009-02-01,-0.57,-26.0,1.292783741466092,2.5747523435066415,1.9337680424863668
2009-03-01,-0.52,-27.6,1.4400342260372883,2.2377969444036094,1.8389155852204488
2009-04-01,-0.49,-30.2,1.5283845167800059,1.6902444208611829,1.6093144688205943
2009-05-01,-0.46,-32.8,1.6167348075227237,1.1426918973187565,1.3797133524207401
2009-06-01,-0.44,-34.3,1.6756350013512022,0.826796210659664,1.2512156060054331
2009-07-01,-0.43,-36.3,1.7050850982654415,0.40560196178087415,1.055343530023158
2009-08-01,-0.42,-37.0,1.7345351951796808,0.25818397467329707,0.9963595849264889
2009-09-01,-0.43,-37.4,1.7050850982654415,0.17394512489753938,0.9395151115814905
2009-10-01,-0.44,-37.8,1.6756350013512022,0.08970627512178168,0.882670638236492
2009-11-01,-0.44,-37.8,1.6756350013512022,0.08970627512178168,0.882670638236492
2009-12-01,-0.44,-36.6,1.6756350013512022,0.34242282444905475,1.0090289129001284
2010-01-01,-0.45,-37.7,1.646184904436963,0.11076598756571998,0.8784754460013415
2010-02-01,-0.46,-38.2,1.6167348075227237,0.0054674253460225,0.8111011164343731
2010-03-01,-0.48,-38.9,1.5578346136942451,-0.14195056176155307,0.707942025966346
2010-04-01,-0.49,-39.4,1.5283845167800059,-0.24724912398125057,0.6405676963993776
2010-05-01,-0.5,-39.5,1.4989344198657666,-0.2683088364251904,0.6153127917202881
2010-06-01,-0.51,-39.7,1.4694843229515275,-0.31042826131306994,0.5795280308192288
2010-07-01,-0.53,-39.7,1.410584129123049,-0.31042826131306994,0.5500779339049895
2010-08-01,-0.54,-39.2,1.3811340322088097,-0.20512969909337248,0.5880021665577186
2010-09-01,-0.55,-38.2,1.3516839352945704,0.0054674253460225,0.6785756803202965
2010-10-01,-0.56,-38.3,1.3222338383803312,-0.015592287097915799,0.6533207756412077
2010-11-01,-0.58,-38.8,1.2633336445518528,-0.12089084931761328,0.5712213976171198
2010-12-01,-0.59,-39.0,1.2338835476376135,-0.16301027420549288,0.5354366367160603
2011-01-01,-0.6,-39.2,1.2044334507233743,-0.20512969909337248,0.4996518758150009
2011-02-01,-0.62,-38.7,1.1455332568948957,-0.09983113687367498,0.5228510600106103
2011-03-01,-0.62,-36.2,1.1455332568948957,0.42666167422481244,0.786097465559854
2011-04-01,-0.62,-31.2,1.1455332568948957,1.479647296421788,1.3125902766583417
2011-05-01,-0.61,-32.1,1.174983353809135,1.2901098844263321,1.2325466191177337
2011-06-01,-0.62,-33.1,1.1455332568948957,1.0795127599869372,1.1125230084409163
