date,unemployment,employment_decline,crime,unemployment_z,employment_decline_z,crime_z,STI
2003-01-01,5.44,1.5,22.2475,1.6449838624875324,1.9922233852691786,1.7616895180477363,1.7996322552681494
2003-02-01,5.24,1.4,22.203333333333333,1.4483986034255347,1.9024809934935827,1.7540012505621998,1.7016269491604392
2003-03-01,5.43,1.4,22.159166666666668,1.6351545995344319,1.9024809934935827,1.746312983076663,1.7613161920348925
2003-04-01,5.46,1.4,22.115000000000002,1.6646423883937318,1.9024809934935827,1.7386247155911265,1.7685826991594802
2003-05-01,5.43,1.2,22.070833333333333,1.6351545995344319,1.7229962099423908,1.7309364481055893,1.696362419194137
2003-06-01,5.38,0.9,22.026666666666667,1.5860082847689327,1.4537690346156027,1.7232481806200528,1.5876751666681963
2003-07-01,5.21,0.8,21.9825,1.4189108145662348,1.364026642840007,1.715559913134516,1.499499123513586
2003-08-01,5.09,0.5,21.938333333333333,1.3009596591290362,1.0947994675132189,1.7078716456489789,1.3678769240970778
2003-09-01,5.16,0.7,21.894166666666667,1.3697644998007357,1.2742842510644108,1.7001833781634423,1.448077376342863
2003-10-01,5.09,0.7,21.85,1.3009596591290362,1.2742842510644108,1.6924951106779058,1.4225796736237843
2003-11-01,5.11,0.5,21.700000000000003,1.3206181850352363,1.0947994675132189,1.666384013557215,1.3606005553685565
2003-12-01,4.91,0.6,21.55,1.1240329259732387,1.184541859288815,1.6402729164365237,1.316282567232859
2004-01-01,4.9,0.3,21.400000000000002,1.114203663020139,0.9153146839620271,1.614161819315833,1.2145600554326663
2004-02-01,4.95,0.2,21.25,1.1633499777856382,0.825572292186431,1.5880507221951417,1.1923243307224036
2004-03-01,4.75,-0.2,21.1,0.9667647187236404,0.4666027250840472,1.561939625074451,0.9984356896273795
2004-04-01,4.78,-0.5,20.950000000000003,0.9962525075829404,0.19737554975725924,1.5358285279537602,0.9098188617646533
2004-05-01,4.66,-0.7,20.8,0.8783013521457417,0.017890766206067343,1.509717430833069,0.8019698497282927
2004-06-01,4.7,-0.6,20.650000000000002,0.9176184039581412,0.1076331579816633,1.4836063337123782,0.8362859652173942
2004-07-01,4.87,-0.7,20.5,1.0847158741608391,0.017890766206067343,1.457495236591687,0.8533672923195311
2004-08-01,4.78,-0.7,20.35,0.9962525075829404,0.017890766206067343,1.431384139470996,0.8151758044200013
2004-09-01,4.61,-0.7,20.2,0.8291550373802424,0.017890766206067343,1.4052730423503048,0.7507729486455382
2004-10-01,4.58,-0.7,20.05,0.7996672485209426,0.017890766206067343,1.3791619452296142,0.7322399866522081
2004-11-01,4.5,-0.7,19.859166666666667,0.7210331448961435,0.017890766206067343,1.3459428272260683,0.6949555794427598
2004-12-01,4.46,-0.9,19.668333333333333,0.6817160930837439,-0.16159401734512466,1.3127237092225226,0.6109485949870472
2005-01-01,4.46,-0.9,19.4775,0.6817160930837439,-0.16159401734512466,1.2795045912189766,0.5998755556525319
2005-02-01,4.6,-0.7,19.28666666666667,0.8193257744271419,0.017890766206067343,1.2462854732154316,0.6945006712828802
2005-03-01,4.5,-0.7,19.095833333333335,0.7210331448961435,0.017890766206067343,1.2130663552118857,0.6506634221046989
2005-04-01,4.46,-0.9,18.905,0.6817160930837439,-0.16159401734512466,1.17984723720834,0.5666564376489864
2005-05-01,4.5,-1.0,18.714166666666667,0.7210331448961435,-0.2513364091207206,1.146628119204794,0.5387749516600723
2005-06-01,4.27,-0.9,18.523333333333333,0.4949600969748459,-0.16159401734512466,1.1134090012012483,0.4822583602769899
2005-07-01,4.43,-0.8,18.332500000000003,0.6522283042244441,-0.0718516255695287,1.080189883197703,0.5535221872842061
2005-08-01,4.31,-0.8,18.14166666666667,0.5342771487872454,-0.0718516255695287,1.0469707651941573,0.5031320961372914
2005-09-01,4.2,-0.7,17.950833333333335,0.4261552563031473,0.017890766206067343,1.0137516471906114,0.48593255656660866
2005-10-01,4.42,-0.8,17.76,0.6423990412713444,-0.0718516255695287,0.9805325291870657,0.5170266482962939
2005-11-01,4.52,-0.7,17.615833333333335,0.7406916708023429,0.017890766206067343,0.9554368636210682,0.5713397668764928
2005-12-01,4.37,-0.8,17.471666666666668,0.5932527265058452,-0.0718516255695287,0.9303411980550708,0.48391409966379567
2006-01-01,4.41,-0.7,17.3275,0.6325697783182448,0.017890766206067343,0.9052455324890732,0.5185686923377951
