date,discretionary_share,discretionary,total_consumption
2018-02-01,20.95672667856363,55664.0,265614.0
2018-03-01,23.364206752315507,70380.0,301230.0
2018-04-01,23.05163378492659,67873.0,294439.0
2018-05-01,23.769049472640212,66864.0,281307.0
2018-06-01,23.467256511521033,62808.0,267641.0
2018-07-01,24.37797076083236,69084.0,283387.0
2018-08-01,23.669571698674442,69229.0,292481.0
2018-09-01,23.023669882369422,62457.0,271273.0
2018-10-01,23.06057934682296,66967.0,290396.0
2018-11-01,24.03457146821994,67547.0,281041.0
2018-12-01,23.830522578666205,78467.0,329271.0
2019-01-01,22.87232786110783,67781.0,296345.0
2019-02-01,21.47497345445965,58247.0,271232.0
2019-03-01,23.592025194487736,72964.0,309274.0
2019-04-01,23.582036023590668,71014.0,301136.0
2019-05-01,24.693171508236926,74302.0,300901.0
2019-06-01,24.892553506547916,68923.0,276882.0
2019-07-01,24.266212078076286,69893.0,288026.0
2019-08-01,24.927866849797688,73868.0,296327.0
2019-09-01,25.349207774883652,76202.0,300609.0
2019-10-01,22.459604320791215,62813.0,279671.0
2019-11-01,24.953634781984828,69562.0,278765.0
2019-12-01,24.273756923268405,78011.0,321380.0
2020-01-01,23.1163793253544,66384.0,287173.0
2020-02-01,21.351684545605092,58020.0,271735.0
2020-03-01,19.446364650564313,56825.0,292214.0
2020-04-01,15.798254715924784,42327.0,267922.0
2020-05-01,18.9868143815695,47850.0,252017.0
2020-06-01,22.15462972097085,60637.0,273699.0
2020-07-01,21.94104841942772,58560.0,266897.0
2020-08-01,21.32363583731365,58930.0,276360.0
2020-09-01,20.87170156709145,56325.0,269863.0
2020-10-01,22.708353908884405,64380.0,283508.0
2020-11-01,22.102268242452947,61603.0,278718.0
2020-12-01,21.559520899535567,67914.0,315007.0
2021-01-01,19.284433821332534,51636.0,267760.0
2021-02-01,18.664216026080307,47118.0,252451.0
2021-03-01,20.118463524854747,62327.0,309800.0
2021-04-01,19.633075673574872,59104.0,301043.0
2021-05-01,20.305411953903572,57071.0,281063.0
2021-06-01,21.526019555487256,56029.0,260285.0
2021-07-01,22.540435545926563,60343.0,267710.0
2021-08-01,21.005633105558847,56009.0,266638.0
2021-09-01,19.221578102266818,50996.0,265306.0
2021-10-01,21.835061490233905,61574.0,281996.0
2021-11-01,22.745994101700546,63013.0,277029.0
2021-12-01,21.95450275215475,69641.0,317206.0
2022-01-01,19.553788902748774,56276.0,287801.0
2022-02-01,18.21728121231392,46980.0,257887.0
2022-03-01,20.07413892423705,61680.0,307261.0
2022-04-01,20.74053397261174,63157.0,304510.0
2022-05-01,22.55750172930998,64895.0,287687.0
2022-06-01,22.830055799339075,63213.0,276885.0
2022-07-01,23.034001254762313,65719.0,285313.0
2022-08-01,22.420630815176533,65014.0,289974.0
2022-09-01,21.5780127331414,60634.0,280999.0
2022-10-01,23.158594122265992,69014.0,298006.0
2022-11-01,22.997618439780798,65761.0,285947.0
2022-12-01,22.667731337279115,74376.0,328114.0
2023-01-01,21.568328437970337,65060.0,301646.0
2023-02-01,20.372207160542807,55456.0,272214.0
2023-03-01,22.670563183036087,70904.0,312758.0
2023-04-01,22.816389288495294,69151.0,303076.0
2023-05-01,24.18351993241238,69272.0,286443.0
2023-06-01,22.773775608339836,62752.0,275545.0
2023-07-01,25.1937984496124,70980.0,281736.0
2023-08-01,24.35248890541375,71392.0,293161.0
2023-09-01,21.83843459884298,61796.0,282969.0
2023-10-01,23.16457708279521,69951.0,301974.0
2023-11-01,25.330577648280716,72679.0,286922.0
2023-12-01,23.224224473321637,76528.0,329518.0
2024-01-01,22.740761468492092,65827.0,289467.0
2024-02-01,21.63805794160104,60558.0,279868.0
2024-03-01,23.367418335618567,74475.0,318713.0
2024-04-01,22.546121927864665,70637.0,313300.0
2024-05-01,23.44176242043482,68058.0,290328.0
2024-06-01,24.901384181595514,69945.0,280888.0
2024-07-01,25.431803417305133,73989.0,290931.0
2024-08-01,24.61418482152161,73224.0,297487.0
2024-09-01,22.960588686741005,66118.0,287963.0
2024-10-01,22.75234697647955,69581.0,305819.0
2024-11-01,24.18972786767642,71485.0,295518.0
2024-12-01,22.504983935139368,79360.0,352633.0
2025-01-01,21.621427005017658,66058.0,305521.0
2025-02-01,20.68734058262854,60099.0,290511.0
2025-03-01,22.954497217243656,77869.0,339232.0
2025-04-01,22.968712102837742,74813.0,325717.0
2025-05-01,24.041317999905086,75991.0,316085.0
2025-06-01,24.12573328052698,71272.0,295419.0
2025-07-01,24.43914502738032,74709.0,305694.0
2025-08-01,25.58244712192294,80323.0,313977.0
2025-09-01,22.91879662548563,69493.0,303214.0
2025-10-01,23.37847701973461,71742.0,306872.0
2025-11-01,24.41080441188638,76709.0,314242.0
2025-12-01,23.27080524120823,81802.0,351522.0
